ID,Summary,Component,Steps to Reproduce,Expected Result,Actual Result,Severity,Priority,Reproducibility,Environment,Status,Reported By,Date Reported,Notes
BUG-001,Search returns irrelevant results for exact product name,Search,1. Go to homepage. 2. Enter exact product name 'HP LP3065' in search box. 3. Press Enter.,Search should return the product 'HP LP3065' as top result or exact match.,Search returns unrelated items and product is not listed in results.,High,P1,Always,"Chrome 120 on Windows 10, Tutorialsninja demo",Open,Abdul Mateen,2026-01-10,
BUG-002,Add to Cart fails with no error message when quantity > available stock,Cart / Inventory,1. Open product page for 'MacBook'. 2. Set quantity to 1000. 3. Click 'Add to Cart'.,App should show validation message about insufficient stock or adjust quantity.,Button appears to do nothing; no message shown; cart unchanged.,Critical,P1,Always,Firefox 118 on Ubuntu 22.04,Open,Abdul Mateen,2026-01-10,
BUG-003,Price mismatch on product list vs product detail page,Pricing,1. Open category 'Laptops'. 2. Note price on listing for 'Sony VAIO'. 3. Click product and compare price on detail page.,Price should be identical across listing and product detail.,Listing shows $1000 but detail page shows $1200.,High,P1,Sometimes,Edge on Windows 10,Open,Abdul Mateen,2026-01-10,Possible caching or currency conversion bug.
BUG-004,Checkout page allows proceeding without required shipping address fields,Checkout,1. Add product to cart. 2. Proceed to checkout. 3. Leave 'City' field blank and click 'Continue'.,Form validation should block continuation and show required field error.,User proceeds to payment step; order may succeed with incomplete address.,Critical,P1,Always,Chrome on Android (mobile view),Open,Abdul Mateen,2026-01-10,
BUG-005,Login shows generic error 'An error occurred' on incorrect password instead of helpful message,Authentication,1. Go to Login. 2. Enter valid email and wrong password. 3. Click 'Login'.,Show 'Incorrect email or password' message.,Displays 'An error occurred' (non-actionable).,Medium,P2,Always,Safari on macOS,Open,Abdul Mateen,2026-01-10,Also check HTTP error codes returned by backend.
BUG-006,Responsive layout: product grid items overlap at 375px width,Screen / Responsive,1. Resize browser to 375px width (mobile). 2. Open category with product grid.,Grid items stack or reflow without overlap.,Product cards overlap and texts become unreadable.,High,P1,Always,Chrome DevTools mobile simulation (375x812),Open,Abdul Mateen,2026-01-10,
BUG-007,Broken image icon for some products (image 404),Assets / CDN,1. Browse category 'Cameras'. 2. Observe images for product index 3 and 4.,Product images load properly.,Placeholder broken-image icon shows; console 404 for asset.,Medium,P2,Sometimes,Chrome 120,Open,Abdul Mateen,2026-01-10,Likely missing asset path or CDN issue.
BUG-008,Sorting by Price (Low > High) returns incorrect order,Product Listing / Sorting,1. Open category 'Phones'. 2. Select 'Price (Low > High)'.,Products displayed from lowest to highest price.,Order appears random; some higher priced items shown first.,Medium,P2,Always,Firefox 118,Open,Abdul Mateen,2026-01-10,
BUG-009,Currency selector doesn't persist choice across pages,Localization / Currency,1. Change currency to 'Euro' on homepage. 2. Navigate to product detail.,Currency remains 'Euro' throughout session.,Currency resets to USD on new page loads.,Low,P3,Always,Edge on Windows 11,Open,Abdul Mateen,2026-01-10,Session/cookie persistence issue.
BUG-010,Wishlist icon clickable area misaligned (clicking to right does nothing),Screen / Controls,1. Hover product card. 2. Click heart icon slightly to the right of centre.,Click toggles wishlist.,No action; only small exact area responds.,Low,P3,Always,Chrome on Windows 10,Open,Abdul Mateen,2026-01-10,
BUG-011,Password reset link emails not sent (or delayed more than 24 hours),Email / Notifications,1. Use 'Forgot Password' flow with valid account. 2. Check email inbox for reset link.,Password reset email arrives within a few minutes.,No email arrives after 24 hours.,High,P1,Sometimes,All browsers,Open,Abdul Mateen,2026-01-10,Check SMTP server logs and email queue.
BUG-012,Coupon code field accepts invalid characters and throws server error,Checkout / Coupons,1. Enter '!@#$%^' in coupon field. 2. Click 'Apply'.,Validation should reject invalid characters with client message.,Server throws 500 error; page shows generic error.,High,P1,Always,Chrome,Open,Abdul Mateen,2026-01-10,
BUG-013,Accessibility: Images missing alt text (fails automated a11y scan),Accessibility,1. Run Lighthouse accessibility audit. 2. Inspect image elements.,All meaningful images should have descriptive alt attributes.,Multiple product images have empty or missing alt attributes.,Medium,P2,Always,Lighthouse/Chrome,Open,Abdul Mateen,2026-01-10,Important for WCAG compliance.
BUG-014,Profile page shows stale order history (last order missing),User Profile / Orders,1. Place an order. 2. Visit Profile > Orders. 3. Refresh page.,New order appears in order history immediately.,Recent order not listed until next day.,Medium,P2,Sometimes,Chrome on Windows 10,Open,Abdul Mateen,2026-01-10,Possible background job delay.
BUG-015,Pagination 'Next' button disabled on last page but still clickable,Navigation / Pagination,1. Go to category with multiple pages. 2. Navigate to last page. 3. Click 'Next'.,"'Next' should be disabled and not clickable, or hidden.",Button looks disabled but clicking triggers page reload and shows same page.,Low,P3,Always,Firefox,Open,Abdul Mateen,2026-01-10,
BUG-016,SSL mixed content warning on checkout due to HTTP image,Security / SSL,1. Proceed to checkout over HTTPS. 2. Open console.,All assets loaded over HTTPS.,Warning: Mixed content - image loaded over HTTP causing lock icon to be broken.,High,P1,Always,Chrome,Open,Abdul Mateen,2026-01-10,
BUG-017,Product compare feature removes selected items when refreshing page,Product Compare,1. Select 3 products to compare. 2. Refresh page.,Selected products remain in compare list after refresh.,Compare list cleared after refresh.,Low,P3,Always,Chrome,Open,Abdul Mateen,2026-01-10,Session storage/localStorage not used.
BUG-018,Contact form allows submission with invalid email format,Forms / Validation,1. Go to Contact Us. 2. Enter 'user@@example' as email and submit.,Client-side validation prevents submission and shows error.,Form submits and server returns 400; user sees generic 'error'.,Medium,P2,Always,Any browser,Open,Abdul Mateen,2026-01-10,
